dteday,season,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered
2011-01-02,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8
2011-01-02,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19
2011-01-02,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46
2011-01-02,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54
2011-01-02,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73
2011-01-02,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64
2011-01-02,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55
2011-01-02,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55
2011-01-02,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67
2011-01-02,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58
2011-01-02,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43
2011-01-02,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29
2011-01-02,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17
2011-01-02,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20
2011-01-02,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9
2011-01-02,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8
2011-01-03,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5
2011-01-03,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2
2011-01-03,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1
2011-01-03,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3
2011-01-03,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30
2011-01-03,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63
2011-01-03,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153
2011-01-03,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81
2011-01-03,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33
2011-01-03,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41
2011-01-03,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48
2011-01-03,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53
2011-01-03,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66
2011-01-03,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58
2011-01-03,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67
2011-01-03,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146
2011-01-03,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148
2011-01-03,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102
2011-01-03,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49
2011-01-03,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49
2011-01-03,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20
2011-01-03,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11
2011-01-04,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5
2011-01-04,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2
2011-01-04,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1
2011-01-04,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2
2011-01-04,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4
2011-01-04,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36
2011-01-04,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92
2011-01-04,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177
2011-01-04,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98
2011-01-04,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37
2011-01-04,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50
2011-01-04,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66
2011-01-04,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79
2011-01-04,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54
2011-01-04,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48
2011-01-04,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68
2011-01-04,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202
2011-01-04,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179
2011-01-04,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110
2011-01-04,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53
2011-01-04,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48
2011-01-04,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34
2011-01-04,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9
2011-01-05,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6
2011-01-05,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6
2011-01-05,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2
2011-01-05,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2
2011-01-05,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3
2011-01-05,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33
2011-01-05,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87
2011-01-05,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192
2011-01-05,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109
2011-01-05,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53
2011-01-05,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34
2011-01-05,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74
2011-01-05,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65
2011-01-05,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52
2011-01-05,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55
2011-01-05,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85
2011-01-05,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186
2011-01-05,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166
2011-01-05,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127
2011-01-05,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82
2011-01-05,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40
2011-01-05,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41
2011-01-05,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18
